Y54E10BR.6	Y73F8A.24
Y54E10BR.6	Y97E10AR.5
Y54E10BR.6	ZK1128.4
Y54E10BR.6	ZK550.4
Y66D12A.15	Y73F8A.24
Y66D12A.15	Y97E10AR.5
Y66D12A.15	ZK1128.4
Y66D12A.15	ZK550.4
Y73F8A.24	Y97E10AR.5
Y73F8A.24	ZK1128.4
Y73F8A.24	ZK550.4
Y97E10AR.5	ZK1128.4
Y97E10AR.5	ZK550.4
ZK1128.4	ZK550.4
C09G4.5	K07A1.12
C09G4.5	R06A4.7
K07A1.12	R06A4.7
F53G2.7	R02D3.3
F53G2.7	T16H12.4
F53G2.7	Y39G10AL.3
F53G2.7	Y49F6B.1
F53G2.7	Y50D7A.2
F53G2.7	Y66D12A.15
F53G2.7	Y73F8A.24
F53G2.7	ZK1128.4
R02D3.3	Y39G10AL.3
R02D3.3	Y49F6B.1
T16H12.4	Y39G10AL.3
T16H12.4	Y49F6B.1
Y39G10AL.3	Y49F6B.1
Y39G10AL.3	Y50D7A.2
Y39G10AL.3	Y66D12A.15
Y39G10AL.3	Y73F8A.24
Y39G10AL.3	ZK1128.4
Y49F6B.1	Y50D7A.2
Y49F6B.1	Y66D12A.15
Y49F6B.1	Y73F8A.24
Y49F6B.1	ZK1128.4
C06A8.2	Y48G1BM.1
F13D12.7	F33C8.3
F13D12.7	M01D7.7
F33C8.3	M01D7.7
D2085.6	T20D3.8
C05D11.9	C15C6.4
C05D11.9	Y62E10A.2
C05D11.9	Y66A7A.2
C15C6.4	Y62E10A.2
C15C6.4	Y66A7A.2
Y62E10A.2	Y66A7A.2
C07G2.3	F01F1.8
C07G2.3	F54A3.3
C07G2.3	K01C8.10
C07G2.3	T05C12.7
C07G2.3	T10B5.5
C07G2.3	T21B10.7
C07G2.3	Y55F3AR.3
F01F1.8	F54A3.3
F01F1.8	K01C8.10
F01F1.8	T05C12.7
F01F1.8	T10B5.5
F01F1.8	T21B10.7
F01F1.8	Y55F3AR.3
F54A3.3	K01C8.10
F54A3.3	T05C12.7
F54A3.3	T10B5.5
F54A3.3	T21B10.7
F54A3.3	Y55F3AR.3
K01C8.10	T05C12.7
K01C8.10	T10B5.5
K01C8.10	T21B10.7
K01C8.10	Y55F3AR.3
T05C12.7	T10B5.5
T05C12.7	T21B10.7
T05C12.7	Y55F3AR.3
T10B5.5	T21B10.7
T10B5.5	Y55F3AR.3
T21B10.7	Y55F3AR.3
C08B11.3	C26C6.1
C08B11.3	R07E5.3
C08B11.3	T04C12.5
C08B11.3	Y113G7B.23
C08B11.3	Y71H2AM.17
C08B11.3	ZK616.4
C26C6.1	R07E5.3
C26C6.1	T04C12.5
C26C6.1	Y113G7B.23
C26C6.1	Y71H2AM.17
C26C6.1	ZK616.4
R07E5.3	ZK616.4
T04C12.5	ZK616.4
Y113G7B.23	ZK616.4
Y71H2AM.17	ZK616.4
F30F8.8	F48D6.1
F30F8.8	T20B12.2
F30F8.8	W04A8.7
F30F8.8	W09B6.2
F30F8.8	Y37E11B.4
F48D6.1	T20B12.2
F48D6.1	W04A8.7
F48D6.1	W09B6.2
F48D6.1	Y37E11B.4
T20B12.2	W04A8.7
T20B12.2	W09B6.2
T20B12.2	Y37E11B.4
W04A8.7	W09B6.2
W04A8.7	Y37E11B.4
W09B6.2	Y37E11B.4
F25D7.1	F55A11.3
F35G12.8	Y71F9AL.18
M106.1	Y71F9AL.18
Y39A1B.3	Y71F9AL.18
C29E4.2	F35G12.8
C29E4.2	M106.1
C09H10.3	C16A3.5
C09H10.3	C25H3.9
C09H10.3	C33A12.1
C09H10.3	C34B2.8
C09H10.3	D2030.4
C09H10.3	F22D6.4
C09H10.3	F53F4.10
C09H10.3	F59C6.5
C09H10.3	K04G7.4
C09H10.3	MTCE.11
C09H10.3	MTCE.35
C09H10.3	T10E9.7
C09H10.3	T20H4.5
C09H10.3	T26A5.3
C09H10.3	W01A8.4
C09H10.3	W10D5.2
C09H10.3	Y45G12B.1
C09H10.3	Y51H1A.3
C09H10.3	Y53G8AL.2
C09H10.3	Y54E10BL.5
C09H10.3	Y54F10AM.5
C09H10.3	Y56A3A.19
C09H10.3	Y57G11C.12
C09H10.3	Y63D3A.7
C09H10.3	Y94H6A.8
C09H10.3	ZK973.10
C16A3.5	C25H3.9
C16A3.5	C33A12.1
C16A3.5	C34B2.8
C16A3.5	D2030.4
C16A3.5	F22D6.4
C16A3.5	F53F4.10
C16A3.5	F59C6.5
C16A3.5	K04G7.4
C16A3.5	MTCE.11
C16A3.5	MTCE.35
C16A3.5	T10E9.7
C16A3.5	T20H4.5
C16A3.5	T26A5.3
